name,desc
yén,"A Quenya word often translated as 'year', meaning 144 of our years."
ré,"A Quenya word for 'day', reckoned from sunset to sunset."
enquië,An Elvish week of six days.
coranar,"A short period or solar year, called 'sun-round' in astronomical terms, or 'growth' for seasonal changes."
loa,"The seasonal year, divided into six seasons or long months."
tuilë,Spring season in Quenya.
lairë,Summer season in Quenya.
yávië,Autumn season in Quenya.
quellë,Term for late autumn in Quenya.
hrívë,Winter season in Quenya.
coirë,Term for early spring in Quenya.
enderi,Three 'middle-days' inserted in the calendar for correction.
Númenóreans,The people of Númenor.
astar,Months in the Númenórean calendar.
yestarë,First day of the year in the Númenórean calendar.
loëndë,"Middle day of the year, a correction day."
mettarë,Last day of the year in the Númenórean calendar.
Stewards' Reckoning,A revised calendar introduced by Steward Mardil.
Lithe,"Days of festival in the Shire, surrounding Midsummer."
Overlithe,An extra day of festival in Leap-years in the Shire.
Yuledays,Two days at the end and start of the year in the Shire.
Shire-reform,A reform in the Shire to keep weekdays consistent across years.
Narvinyë,January in the Westron calendar.
Nénimë,February in the Westron calendar.
Súlimë,March in the Westron calendar.
Víressë,April in the Westron calendar.
Lótessë,May in the Westron calendar.
Nárië,June in the Westron calendar.
Cermië,July in the Westron calendar.
Úrimë,August in the Westron calendar.
Yavannië,September in the Westron calendar.
Narquelië,October in the Westron calendar.
Hísimë,November in the Westron calendar.
Ringarë,December in the Westron calendar.
Elenya,"Quenya name for Star-day, the first day of the Elvish week."
Anarya,"Quenya name for Sun-day, the second day."
Isilya,"Quenya name for Moon-day, the third day."
Aldúya,"Quenya name for Water-day, the fourth day."
Menelya,"Quenya name for Heaven-day, the fifth day."
Valanya,"Quenya name for Valar-day, the last day of the Elvish week."
Eärenya,A 'Sea-day' added by the Númenóreans.
tindómë,"Time near dawn, star-fading."
undómë,"Evening, star-opening."
Cormarë,"The festival on Frodo's birthday, doubled in leap years."
Adalbert Bolger,Hobbit
Adaldrida Bolger,Hobbit
Adalgar Bolger,Hobbit 
Adalgrim Took,Hobbit
Adamanta Chubb,Hobbit
Adanadhel,Elf-Man
Adanel,Man
Adelard Took,Hobbit
Adorn,"Rohan, Eastward flowing tributary of the Isen"
Adrahil I,"Gondor, Prince of Dor-en-Ernil. Fought the Wainriders, Battle of the Camp Man"
Adrahil II,Gondor 21st Prince of Dol Amroth. Father of Imrahil & Finduilas
Adurant,Tributary of the Gelion and most southern river of Ossiriand
Aegnor,Elf 
Aelin-Uial,Treacherous watery region where the Aros joins the Sirion
Aerandir,"Elf, One of Earendil's three fellow-mariners "
Aerin,"Hador Wed by the Easterling Brodda, Hithlum Man"
Agarwaen,"Bloodstained, son of Ill-Fate"
Agathor,Man 
Aghan,Druadan leech who gave Barach a protective watch-stone 
Aglahad,Man
Aglarond,Glittering Caves Rohan Numenorean caverns & rock-halls delved at Helm's Deep
Aglon,Pass east of Himring between Lothlann and Himlad
Aiglos,Icicle Gil-Galad's spear (First/Second Age)
Ailinel,Man d. of Tar-Meneldur  Numenor d. of Tar-Meneldur Mother of Soronto
Ainulindale,The Music of The Ainur
Ainur,Holy Ones Gods and Godesses (Valar / Valier) who helped Iluvatar create the Earth
Akallabêth,The Downfallen Names for Númenor used by the 'exiled' Dunedain after its sinking
Alatar,"Ainur Ainur,Maiar The Blue"
Alcarinque,A star made by Varda Elentari
Alcarinquë,A Star
Alcarondas,Ar-Pharazon's flagship
Aldamir,Man
Aldarion,Man
Aldburg,"Rohan The first capital of Rohan, south-east of Edoras in Folde. (Eomer's home)"
Aldor,Man
Alfrida of the Yale,Hobbit
Algund,Man
Almarian,Man
Almiel,Man
Alphros,Man
Alqualondë,"Haven of the Swans Port and city of the Teleri, under Olwë"
Amandil,Man
Amaranth Brandybuck,Hobbit
Amarië,Elf
Amdír,Elf
Amdí­r,Elf
Amethyst Hornblower,Hobbit
Amlach,Man 
Amlaith,Man
Amras,Elf
Amrod,Elf
Amroth,Elf
Amrothos,Man
Anach,Pass from Dorthonion into Nan Dungortheb / Dimbar
Anadûnê,"Land of Gift The star-shaped island refuge created by the Valar for the Three Tribes of Men following the destruction of Beleriand in the War of Wrath, as a reward for their fidelity and valour; raised from the sea by Ossë"
Anairë,Elf
Anar,"The Sun - The fruit of Laurelin, guided by Arien Vasa, Heart of Fire The Sun. The fruit of Laurelin, guided by Arien"
Anardil,Man s. of Earendil  Gondor 6th King of Gondor s. of Earendil 6th King of Gondor
Anarion,"2nd s. of Elendil and Aldamire 2nd King of Gondor (with Isildur) Killed in the Siege of Mordor Gondor Co-founder of Gondor. Brother of Isildur. Killed in the Siege of Mordor and Aldamire  2nd King of Gondor s. of Elendil & Aldamire  Gondor 2nd King of Gondor Killed, Siege of Mordor"
Anborn,"Gondor One of Faramir's troop, in Ithilien Man"
Ancalagon,Dragons
Ancalgon,"The Black Dragon, slain by Eärendil in the War of Wrath"
Andram,Long Wall East-West escarpment dividing 'northern' and 'southern' Beleriand
Andrast,Ras Morthil Gondor Peninsular at the southern end of the Ered Nimrais Westernmost province on the peninsular at the southern end of the Ered Nimrais
Andrath,"Long Climb Eriador Narrow valley followed by the Greenway south of Bree, between the Barrow Downs & South Downs. Site of the Nazgul base camp in their search for ""Baggins"""
Andreth,Man
Androth,"Cave dwellings, Mithrim"
Andróg,Man
Anduin,"Great River Rhovanion/Gondor The River Anduin effectively marks the East/West divide of Middle-earth at this time Long River The Great River, east of the Misty Mountains The Great River, east of the Misty Mountains"
